source_name,type,url,key_stat_or_use,accessed
WEF Future of Jobs Report 2025 (full report, Ch. 3 Skills Outlook),primary research report,https://www.weforum.org/publications/the-future-of-jobs-report-2025/in-full/3-skills-outlook/,"39% of core skills expected to change/become outdated by 2030 (down from 44% in 2023); top-10 fastest-growing and declining skill lists; core-skills rankings",2026-07-17
WEF Future of Jobs Report 2025 (PDF, full),primary research report (PDF),https://reports.weforum.org/docs/WEF_Future_of_Jobs_Report_2025.pdf,"Full downloadable source report for citation on methodology page",2026-07-17
WEF Future of Jobs Report 2025 (Key Findings digest),summary,https://www.weforum.org/publications/the-future-of-jobs-report-2025/digest/,"Quick-reference summary for landing-page citations",2026-07-17
WEF: fastest growing and declining jobs (2025),press/article,https://www.weforum.org/stories/2025/01/future-of-jobs-report-2025-the-fastest-growing-and-declining-jobs/,"Fastest-growing/declining JOB roles (context for skill-to-job framing)",2026-07-17
Lightcast Open Skills Taxonomy (overview),API/taxonomy documentation,https://lightcast.io/open-skills,"33,000+ skills, 75,000+ job titles, monthly updates",2026-07-17
Lightcast Skill Categories (31 categories),taxonomy reference,https://lightcast.io/open-skills/categories,"Full list of the 31 top-level skill categories used in lightcast_category_decay_mapping.csv",2026-07-17
Lightcast Free API Access,API documentation,https://docs.lightcast.io/lightcast-api/docs/free-api-access,"Free tier scope: skill/title metadata, autocomplete, limited extraction; signup requires registration form + email verification -> Client ID/Secret",2026-07-17
Lightcast Taxonomy API Features,API documentation,https://docs.lightcast.io/lightcast-api/docs/free-api-features,"Details on what the free vs paid API tiers expose",2026-07-17
Lightcast Skills API reference,API reference,https://docs.lightcast.dev/apis/skills,"Endpoint-level reference for skill extraction/lookup calls",2026-07-17
IBM Institute for Business Value skills half-life framework,industry research (secondary summary),https://www.wahresume.com/blog/the-half-life-of-skills-is-now-25-years-future-proof-your-career-with-continuous-learning,"Perishable <2.5yr / Semi-durable 2.5-7.5yr / Durable >7.5yr half-life tiers; technical skills ~2.5yr, general skills ~5yr baseline",2026-07-17
IBM Institute for Business Value (official site),primary source landing page,https://www.ibm.com/thought-leadership/institute-business-value/en-us,"Landing page for IBM IBV reports; original half-life figure comes from IBM IBV 'Closing the skills gap' / training research (widely re-cited, see secondary sources)",2026-07-17
IBM skills transformation research (IBM Learning Blog),secondary summary,https://www.ibm.com/new/training/skills-transformation-2021-workplace,"IBM's own summary referencing skills-gap and reskilling urgency",2026-07-17
